OrderID,OrderDate,CustomerID,CustomerName,CustomerSegment,Product,Category,SubCategory,Region,Country,SalesChannel,SalesRep,Quantity,UnitPrice,Discount,Sales,Cost,Profit,Returned,Satisfaction,Campaign
1,2025-10-16,1057,Customer 1057,Consumer,Ultrabook Laptop,Laptop,Ultrabook,East,Poland,Online,Schmidt,2,1224.53,0.2,1959.25,1123.58,835.67,0,2,None
2,2024-04-05,1050,Customer 1050,Business,Android Phone,Phone,Android,North,Germany,Wholesale,Nowak,7,412.38,0.2,2309.33,1443.59,865.74,0,3,Christmas
3,2025-03-08,1245,Customer 1245,Business,Pro Tablet,Tablet,Pro,South,Italy,Online,Garcia,2,185.09,0.0,370.18,239.48,130.7,0,4,None
4,2025-04-15,1075,Customer 1075,Consumer,Gaming Laptop,Laptop,Gaming,North,Germany,Wholesale,Nowak,6,1047.69,0.0,6286.14,3535.15,2750.99,0,4,None
5,2024-08-26,1162,Customer 1162,Consumer,Gaming Laptop,Laptop,Gaming,East,Poland,Retail,Garcia,3,678.92,0.05,1934.92,1414.32,520.6,0,3,BlackFriday
6,2024-09-07,1236,Customer 1236,Business,iPhone Phone,Phone,iPhone,West,France,Retail,Nowak,4,1238.61,0.0,4954.44,3031.34,1923.1,0,4,BackToSchool
7,2024-10-01,1167,Customer 1167,Business,Ultrabook Laptop,Laptop,Ultrabook,East,Poland,Online,Dubois,7,1594.74,0.15,9488.7,5584.81,3903.89,0,3,Christmas
8,2025-07-28,1056,Customer 1056,Business,Pro Tablet,Tablet,Pro,West,France,Retail,Schmidt,8,181.82,0.0,1454.56,1138.19,316.37,0,3,Christmas
9,2025-03-08,1119,Customer 1119,Business,Gaming Laptop,Laptop,Gaming,West,France,Wholesale,Rossi,5,1748.52,0.0,8742.6,6414.24,2328.36,0,4,Christmas
10,2024-12-14,1116,Customer 1116,Business,Gaming Laptop,Laptop,Gaming,West,France,Online,Miller,5,1749.96,0.05,8312.31,5711.17,2601.14,0,4,Christmas
11,2025-06-03,1138,Customer 1138,Consumer,Android Phone,Phone,Android,East,Poland,Online,Rossi,1,1086.12,0.15,923.2,512.61,410.59,0,4,Spring
12,2024-02-29,1124,Customer 1124,Consumer,Android Phone,Phone,Android,North,Germany,Wholesale,Miller,3,248.54,0.15,633.78,510.6,123.18,0,4,BlackFriday
13,2025-09-13,1079,Customer 1079,Consumer,Mouse Accessory,Accessory,Mouse,South,Italy,Wholesale,Dubois,6,799.82,0.2,3839.14,2579.52,1259.62,0,3,None
14,2024-12-12,1018,Customer 1018,Consumer,Ultrabook Laptop,Laptop,Ultrabook,South,Italy,Online,Nowak,1,427.52,0.0,427.52,334.36,93.16,0,3,Summer
15,2025-11-16,1239,Customer 1239,Business,Mouse Accessory,Accessory,Mouse,South,Italy,Wholesale,Rossi,8,452.54,0.15,3077.27,2363.42,713.85,0,2,None
